SWV ITM Data Console - ITM Port: 0
IMU,155388,AX=0.064453,AY=-0.012695,AZ=0.944336,MX=0.424500,MY=-0.061500,MZ=-0.592500,GX=0.093421,GY=-0.142348,GZ=-1.053260
IMU,155390,AX=0.061523,AY=-0.012695,AZ=0.941406,MX=0.424500,MY=-0.061500,MZ=-0.592500,GX=0.185085,GY=-0.274577,GZ=-1.125409
IMU,155392,AX=0.061523,AY=-0.012695,AZ=0.941406,MX=0.424500,MY=-0.061500,MZ=-0.592500,GX=0.222696,GY=-0.402647,GZ=-1.155729
IMU,155394,AX=0.061523,AY=-0.012695,AZ=0.941406,MX=0.424500,MY=-0.061500,MZ=-0.592500,GX=0.224806,GY=-0.455221,GZ=-1.157869
IMU,155396,AX=0.061523,AY=-0.012695,AZ=0.941406,MX=0.424500,MY=-0.061500,MZ=-0.592500,GX=0.202744,GY=-0.468358,GZ=-1.170729
IMU,155398,AX=0.061523,AY=-0.012695,AZ=0.941406,MX=0.447000,MY=-0.054000,MZ=-0.603000,GX=0.159433,GY=-0.484253,GZ=-1.216965
IMU,155400,AX=0.064453,AY=-0.014648,AZ=0.932617,MX=0.447000,MY=-0.054000,MZ=-0.603000,GX=0.121950,GY=-0.501777,GZ=-1.263820
IMU,155402,AX=0.064453,AY=-0.014648,AZ=0.932617,MX=0.447000,MY=-0.054000,MZ=-0.603000,GX=0.107725,GY=-0.509525,GZ=-1.283595
IMU,155404,AX=0.064453,AY=-0.014648,AZ=0.932617,MX=0.447000,MY=-0.054000,MZ=-0.603000,GX=0.107638,GY=-0.510303,GZ=-1.285041
IMU,155406,AX=0.064453,AY=-0.014648,AZ=0.932617,MX=0.447000,MY=-0.054000,MZ=-0.603000,GX=0.104811,GY=-0.460550,GZ=-1.286109
IMU,155408,AX=0.064453,AY=-0.014648,AZ=0.932617,MX=0.450000,MY=-0.052500,MZ=-0.606000,GX=0.090220,GY=-0.330328,GZ=-1.296633
IMU,155410,AX=0.061523,AY=-0.021484,AZ=0.941406,MX=0.450000,MY=-0.052500,MZ=-0.606000,GX=0.074785,GY=-0.207179,GZ=-1.308512
IMU,155412,AX=0.061523,AY=-0.021484,AZ=0.941406,MX=0.450000,MY=-0.052500,MZ=-0.606000,GX=0.068109,GY=-0.157401,GZ=-1.313827
IMU,155414,AX=0.061523,AY=-0.021484,AZ=0.941406,MX=0.450000,MY=-0.052500,MZ=-0.606000,GX=0.067524,GY=-0.155071,GZ=-1.282608
IMU,155416,AX=0.061523,AY=-0.021484,AZ=0.941406,MX=0.450000,MY=-0.052500,MZ=-0.606000,GX=0.049742,GY=-0.125377,GZ=-1.196738
IMU,155418,AX=0.061523,AY=-0.021484,AZ=0.941406,MX=0.438000,MY=-0.045000,MZ=-0.603000,GX=-0.000190,GY=-0.024659,GZ=-1.115205
IMU,155420,AX=0.060547,AY=-0.015625,AZ=0.934570,MX=0.438000,MY=-0.045000,MZ=-0.603000,GX=-0.048283,GY=0.076124,GZ=-1.082161
IMU,155422,AX=0.060547,AY=-0.015625,AZ=0.934570,MX=0.438000,MY=-0.045000,MZ=-0.603000,GX=-0.067955,GY=0.118339,GZ=-1.080560
IMU,155424,AX=0.060547,AY=-0.015625,AZ=0.934570,MX=0.438000,MY=-0.045000,MZ=-0.603000,GX=-0.090638,GY=0.133953,GZ=-1.064935
IMU,155426,AX=0.060547,AY=-0.015625,AZ=0.934570,MX=0.438000,MY=-0.045000,MZ=-0.603000,GX=-0.144129,GY=0.159210,GZ=-1.009077
